title,year,director,genre,synopsis,cover_url,copies_total,copies_available,rental_price,is_active,notes
BAND OF OUTSIDERS - FRENCH,,,"CRITERION, INTERNATIONAL",,,1,1,3.00,true,Format: DVD
BANDIT OF SHERWOOD FOREST THE,,,CLASSIC,,,1,1,3.00,true,Format: DVD
BARBARIAN INVASIONS THE - FRENCH,,,"AWARD WINNER, INTERNATIONAL",,,1,1,3.00,true,Format: DVD
BARON OF ARIZONA THE,,,"ECLIPSE, CRITERION",,,1,1,3.00,true,Format: DVD
BARTON FINK,,,AWARD WINNER,,,1,1,3.00,true,Format: DVD
BATTLE HYMN,,,CLASSIC,,,1,1,3.00,true,Format: DVD
BATTLESHIP POTEMKIN - RUSSIAN,,,INTERNATIONAL,,,1,1,3.00,true,Format: DVD
BAXTER - FRENCH,,,INTERNATIONAL,,,1,1,3.00,true,Format: DVD
BEALES OF GREY GARDENS,,,CRITERION,,,1,1,3.00,true,Format: DVD
BEASTIE BOYS VIDEO ANTHOLOGY,,,CRITERION,,,1,1,3.00,true,Format: DVD
BEAT THAT MY HEART SKIPPED - FRENCH,,,INTERNATIONAL,,,1,1,3.00,true,Format: DVD
BEAU TRAVAIL - FRENCH,,,INTERNATIONAL,,,1,1,3.00,true,Format: DVD
BEAU TRAVAIL - FRENCH,,,,,,1,1,3.00,true,Format: BLU-RAY
BEAUTIFUL MIND A,,,AWARD WINNER,,,1,1,3.00,true,Format: DVD
BEAUTIFUL PERSON THE - FRENCH,,,INTERNATIONAL,,,1,1,3.00,true,Format: DVD
BEAUTY AND THE BEAST - FRENCH,,,CRITERION,,,1,1,3.00,true,Format: BLU-RAY
BECOMING ASTRID - SWEDISH,,,INTERNATIONAL,,,1,1,3.00,true,Format: DVD
BED AND BOARD - FRENCH,,,"CRITERION, INTERNATIONAL",,,1,1,3.00,true,Format: DVD
BEFORE THE RAIN - MACEDONIAN / ALBANIAN,,,"CRITERION, INTERNATIONAL",,,1,1,3.00,true,Format: DVD
BEHOLD A PALE HORSE,,,CLASSIC,,,1,1,3.00,true,Format: DVD
BELLE DE JOUR - FRENCH,,,"CRITERION, INTERNATIONAL",,,1,1,3.00,true,Format: DVD
BELOVED (LES BIEN-AIMES) - FRENCH,,,INTERNATIONAL,,,1,1,3.00,true,Format: DVD
BEN HUR(1959),1959,,"AWARD WINNER, CLASSIC",,,1,1,3.00,true,Format: DVD
BENNY'S VIDEO - FRENCH,,,INTERNATIONAL,,,1,1,3.00,true,Format: DVD
BERGMAN ISLAND - SWEDISH,,,"CRITERION, INTERNATIONAL",,,1,1,3.00,true,Format: DVD
BERLIN ALEXANDERPLATZ - GERMAN,,,"CRITERION, INTERNATIONAL",,,1,1,3.00,true,Format: DVD
BEST YEARS OF OUR LIVES,,,"AWARD WINNER, CLASSIC",,,1,1,3.00,true,Format: DVD
BEWARE OF A HOLY WHORE - GERMAN,,,"ECLIPSE, CRITERION, INTERNATIONAL",,,1,1,3.00,true,Format: DVD
BEYOND THE ROCKS,,,CLASSIC,,,1,1,3.00,true,Format: DVD
BIG CITY THE - BENGALI,,,"CRITERION, INTERNATIONAL",,,1,1,3.00,true,Format: DVD
BIG DEAL ON MADONNA STREET - ITALIAN,,,"CRITERION, INTERNATIONAL",,,1,1,3.00,true,Format: DVD
BIG LEBOWSKI THE,,,,,,1,1,3.00,true,Format: DVD
BIGGER THAN LIFE,,,CRITERION,,,1,1,3.00,true,Format: DVD
BILITIS - FRENCH,,,INTERNATIONAL,,,1,1,3.00,true,Format: DVD
BILLY LIAR,,,CRITERION,,,1,1,3.00,true,Format: DVD
BIRDMAN,,,AWARD WINNER,,,1,1,3.00,true,Format: BLU-RAY
BITTER RICE,,,CRITERION,,,1,1,3.00,true,Format: DVD
BIUTIFUL - SPANISH,,,INTERNATIONAL,,,1,1,3.00,true,Format: DVD
BLACK AND WHITE IN COLOR - FRENCH / GERMAN / ENGLISH,,,"AWARD WINNER, INTERNATIONAL",,,1,1,3.00,true,Format: DVD
BLACK BEAUTY,,,,,,1,1,3.00,true,Format: BLU-RAY
BLACK HEAVEN - FRENCH,,,INTERNATIONAL,,,1,1,3.00,true,Format: DVD
BLACK MOON,,,CRITERION,,,1,1,3.00,true,Format: DVD
BLACK NARCISSUS,,,CRITERION,,,1,1,3.00,true,Format: DVD
BLACK ORPHEUS - PORTUGESE,,,"AWARD WINNER, INTERNATIONAL",,,1,1,3.00,true,Format: DVD
BLACK PANTHER,,,"ACTION, STUDIO",,,1,1,3.00,true,Format: DVD | Keywords: MARVEL
BLACK SABBATH - ITALIAN,,,"HORROR, INTERNATIONAL",,,1,1,3.00,true,Format: DVD
